imdb_id,title,release_date,budget,revenue,runtime,vote_average,vote_count,popularity,movielens_id,tmdb_id,genres,director,in_connections,out_connections,tot_connections,connected_movies
64782,Paint Your Wagon,1969-10-15,20000000,31678778,158,6.3,65,10.648872,4709.0,20391.0,Comedy|Musical|Western,Joshua Logan,68.0,0.0,68.0,N
80360,Altered States,1980-12-25,15000000,19853892,102,6.7,169,10.603299,4713.0,11542.0,Drama|Sci-Fi,Ken Russell,70.0,2.0,72.0,N
252866,American Pie 2,2001-08-10,30000000,287553595,108,6.0,1375,10.25103,4718.0,2770.0,Comedy,J.B. Rogers,44.0,15.0,59.0,0328828|0436058|0808146|0974959|1407050|1605630|1177159|0163651
181739,Osmosis Jones,2001-08-07,75000000,13596911,95,6.0,237,6.405831,4719.0,12610.0,Action|Animation|Comedy|Drama|Thriller,Bobby Farrelly,28.0,20.0,48.0,0306371|0116681
244000,American Outlaws,2001-08-17,35000000,13678913,94,5.7,56,10.855383,4721.0,13496.0,Action|Comedy|Western,Les Mayfield,0.0,0.0,0.0,N
261983,Session 9,2001-08-10,1500000,373967,100,6.2,255,14.242234,4725.0,10972.0,Horror|Thriller,Brad Anderson,13.0,1.0,14.0,N
238112,Captain Corelli's Mandolin,2001-08-17,57000000,62112895,131,5.6,146,9.243715,4727.0,1722.0,Drama,John Madden,16.0,0.0,16.0,N
250687,Rat Race,2001-07-30,48000000,85498534,112,6.0,531,12.330275,4728.0,9896.0,Comedy,Jerry Zucker,23.0,24.0,47.0,N
261392,Jay and Silent Bob Strike Back,2001-08-22,22000000,33788161,104,6.4,491,11.619446,4734.0,2294.0,Adventure|Comedy,Kevin Smith,71.0,141.0,212.0,0433537|0424345|6521876|0109445|0113749|0118842|0120655|0210413
228333,Ghosts of Mars,2001-08-24,28000000,14010832,98,4.8,299,7.058599,4735.0,10016.0,Horror|Sci-Fi|Thriller,John Carpenter,17.0,18.0,35.0,N
234829,Summer Catch,2001-08-22,34000000,19693891,108,4.8,63,5.499867,4736.0,26602.0,Comedy|Drama,Mike Tollin,3.0,2.0,5.0,N
263488,Jeepers Creepers,2001-07-01,10000000,59217789,90,6.1,731,10.414363,4744.0,8922.0,Horror,Victor Salva,60.0,20.0,80.0,0301470|1139592
