imdb_id,title,year,budget,revenue,runtime,vote_average,vote_count,popularity,movielens_id,tmdb_id,genres,director,in_connections,out_connections,tot_connections,connected_movies,0,1
1172049,Demolition,2016,10.0,1.978592,101,6.6,661,6.925667,142222,303991.0,Drama,Jean-Marc Vallée,0,0,0,N,0.000153926891574,0.0003397291752041
1018765,Our Brand Is Crisis,2015,28.0,7.002261,108,5.8,196,12.158176,142372,10317.0,Comedy|Drama,David Gordon Green,2,2,4,N,-3.77042457643639e-05,0.0001648018715836
1849718,Agneepath,2012,11.097,49.028,174,6.3,46,2.589507,142382,84858.0,Action|Drama,Karan Malhotra,17,2,19,0098999,-0.0004155726769044,-3.969826381244947e-05
2168910,Cocktail,2012,6.4,18.8,144,6.2,38,7.950488000000001,142384,118051.0,Comedy|Drama,Homi Adajania,4,2,6,N,-0.0001995616328615,0.0002421833800588
3508840,The Assassin,2015,15.0,0.632542,105,6.6,158,6.294815,142386,253450.0,Drama,Hou Hsiao-hsien,3,0,3,N,0.0002800079459654,0.0002220650924754
3530002,The Night Before,2015,25.0,52.395996000000004,101,6.1,548,10.516094,142422,296100.0,Comedy,Jonathan Levine,14,22,36,N,0.0002314677083054,0.0002241614002583
2719848,Everest,2015,55.0,203.427584,121,6.7,1805,10.758754,142448,253412.0,Adventure|Drama|Thriller,Baltasar Kormákur,18,2,20,N,-3.746362657832977e-05,-0.0003120859510743
3781476,Monster Hunt,2015,40.0,385.284817,111,5.7,81,5.361771,142482,334298.0,Action|Comedy|Fantasy,Raman Hui,0,0,0,N,-0.0002830582430007,-0.0002092025764599
1895587,Spotlight,2015,20.0,88.346473,128,7.8,2751,14.63239,142488,314365.0,Thriller,Tom McCarthy,58,0,58,N,-0.0003560770962533,-0.0001651558787654
3808342,Son of Saul,2015,1.0,1.777043,107,7.1,285,6.403937,142492,336050.0,Drama,László Nemes,6,2,8,N,0.0002870215117011,-0.000268324171008
