imdb_id,title,release_date,budget,revenue,runtime,vote_average,vote_count,popularity,movielens_id,tmdb_id,genres,director,in_connections,out_connections,tot_connections,connected_movies
0110598,Muriel's Wedding,1994,3.0,15.119639,106,6.9,104,5.254847,342,236.0,Comedy,P.J. Hogan,53,15,68,N
0109040,Ace Ventura: Pet Detective,1994,15.0,107.2173959999,86,6.4,1684,11.247957,344,3049.0,Comedy,Tom Shadyac,230,35,265,0112281|0844029
0104779,Bitter Moon,1992,5.0,1.8628049999999998,139,7.0,115,11.298195,347,10497.0,Drama,Roman Polanski,17,3,20,1125672
0109444,Clear and Present Danger,1994,62.0,215.887717,141,6.4,390,7.513245,349,9331.0,Action|Drama|Thriller,Phillip Noyce,64,6,70,0164184|1205537|0499097|0099810|0105112
0109446,The Client,1994,45.0,117.615211,119,6.4,287,15.263829,350,10731.0,Drama|Thriller,Joel Schumacher,22,1,23,N
0109506,The Crow,1994,15.0,94.0,102,7.3,980,15.799336,353,9495.0,Action|Fantasy|Thriller,Alex Proyas,177,15,192,0115986|0132910|0353324|0197104|0432536|1340094
0109813,The Flintstones,1994,46.0,341.631208,91,5.0,559,15.019586,355,888.0,Comedy|Fantasy,Brian Levant,97,10,107,0158622|3719916|0053502
0109830,Forrest Gump,1994,55.0,677.9453989998999,142,8.2,8147,48.307194,356,13.0,Comedy|Drama,Robert Zemeckis,962,30,992,1002819
0109831,Four Weddings and a Funeral,1994,6.0,254.700832,117,6.6,654,8.990345,357,712.0,Comedy,Mike Newell,211,6,217,7587362
0110093,I Love Trouble,1994,45.0,61.947267,123,5.3,41,3.570874,360,10879.0,Action|Comedy,Charles Shyer,8,7,15,N
0110357,The Lion King,1994,45.0,788.241776,89,8.0,5520,21.605761,364,8587.0,Adventure|Animation|Drama|Musical,Roger Allers,1413,21,1434,0120131|0318403|3793630|6494434|6105098
0107426,Little Buddha,1993,35.0,4.858139,140,6.0,76,5.681522,365,1689.0,Drama,Bernardo Bertolucci,9,0,9,N
0111686,New Nightmare,1994,14.0,18.090181,112,6.4,297,9.860522,366,11596.0,Drama|Horror|Thriller,Wes Craven,65,25,90,0087800|0089686|0093629|0095742|0097981|0101917
0110475,The Mask,1994,23.0,351.58340699999997,101,6.6,2550,14.13488,367,854.0,Action|Comedy|Fantasy,Chuck Russell,299,29,328,0112064|0362165
0110622,The Naked Gun 33⅓: The Final Insult,1994,30.0,51.132598,83,6.4,535,10.587232,370,36593.0,Action|Comedy,Peter Segal,58,47,105,1957979|0083466|0095705|0102510
0110950,Reality Bites,1994,11.5,20.07985,99,6.5,180,6.514592,372,2788.0,Comedy|Drama,Ben Stiller,74,21,95,N
0105226,Red Rock West,1993,8.0,2.0,98,6.4,71,5.137903,373,10427.0,Thriller,John Dahl,18,2,20,N
0111257,Speed,1994,30.0,350.448145,116,6.8,1814,10.859292,377,1637.0,Action|Thriller,Jan de Bont,366,14,380,0120179|1545465
0111438,Timecop,1994,27.0,101.6465809999,99,5.5,288,8.907074,379,8831.0,Action|Sci-Fi|Thriller,Peter Hyams,91,6,97,0318763|2937706
0111503,True Lies,1994,115.0,378.8824109999,141,6.8,1138,11.396099,380,36955.0,Action|Adventure|Comedy|Thriller,James Cameron,231,27,258,0103103
0111756,Wyatt Earp,1994,63.0,25.052,191,6.5,203,9.277147,383,12160.0,Western,Lawrence Kasdan,22,0,22,N
0110399,A Low Down Dirty Shame,1994,10.0,29.392418,100,6.0,31,3.021526,387,26352.0,Action|Comedy,Keenen Ivory Wayans,6,16,22,N
0110186,Jason's Lyric,1994,7.0,20.851521,119,5.9,9,0.912909,391,22067.0,Drama,Doug McHenry,7,2,9,N
0111301,Street Fighter,1994,35.0,99.42352100000001,102,4.1,330,13.58449,393,11667.0,Action|Adventure|Fantasy,Steven E. de Souza,143,9,152,0144069|0219458|0185708|0495900|0891592|1696187|0106545|0114563
0110027,Highlander: The Final Dimension,1994,26.0,36.8,99,4.5,110,6.866634,405,8011.0,Action|Fantasy,Andrew Morahan,12,8,20,0144714|0144964|0299981|0465657|0091203|0102034|0103442|0182228|0147773
0113409,In the Mouth of Madness,1994,8.0,8.9466,95,7.1,307,8.497643,407,2654.0,Horror|Thriller,John Carpenter,41,8,49,5866542
0106226,The Age of Innocence,1993,34.0,32.25544,139,7.0,172,8.013617,412,10436.0,Drama,Martin Scorsese,53,7,60,N
0109067,The Air Up There,1994,17.08,21.0115,107,5.1,42,1.896273,414,46094.0,Comedy,Paul Michael Glaser,5,2,7,N
0109254,Beverly Hills Cop III,1994,50.0,119.208989,104,5.5,445,11.787784,420,306.0,Action|Comedy|Thriller,John Landis,24,3,27,3083016|0086960|0092644
0106452,Body Snatchers,1993,13.0,0.4288680000000001,87,5.8,102,6.559693,426,4722.0,Horror|Sci-Fi|Thriller,Abel Ferrara,16,2,18,0049366|0077745
0106489,A Bronx Tale,1993,22.0,17.287898,121,7.4,447,6.115628,428,1607.0,Drama,Robert De Niro,21,1,22,N
0106505,Calendar Girl,1993,13.0,2.570145,90,3.7,10,1.316741,430,117553.0,Comedy|Drama,John Whitesell,3,10,13,N
0106519,Carlito's Way,1993,30.0,36.516012,144,7.7,805,8.698509,431,6075.0,Drama,Brian De Palma,75,10,85,0427038|4321328
0106582,Cliffhanger,1993,70.0,255.00021099999998,112,6.1,600,9.830853,434,9350.0,Action|Adventure|Thriller,Renny Harlin,105,3,108,1441251
0109456,Color of Night,1994,40.0,19.72605,121,5.4,117,14.228963,436,2124.0,Drama|Thriller,Richard Rush,18,4,22,N
0106677,Dazed and Confused,1993,6.9,7.993039,102,7.4,588,6.8652,441,9571.0,Comedy,Richard Linklater,174,35,209,N
0106697,Demolition Man,1993,57.0,159.055768,115,6.4,1018,11.626116,442,9739.0,Action|Adventure|Sci-Fi,Marco Brambilla,132,18,150,N
0106941,For Love or Money,1993,30.0,11.14627,94,5.7,77,8.468869,453,9024.0,Comedy,Barry Sonnenfeld,8,5,13,0120540
