imdb_id,title,year,budget,actual_budget,revenue,actual_revenue,runtime,vote_average,vote_count,popularity,movielens_id,tmdb_id,genres,director,in_connections,out_connections,tot_connections,connected_movies,0,1
398027,Down in the Valley,2005,8.0,11.44,0.85,1.22,112,6.0,64,11.448612,45382,7870.0,Drama,David Jacobson,1,4,5,0398027,0.0113425168081021,0.0204237314443357
327084,Over the Hedge,2006,80.0,110.4,343.4,473.89,83,6.3,1116,9.382953,45431,7518.0,Adventure|Animation|Comedy,Karey Kirkpatrick,39,18,57,0327084,-0.0124987926696508,0.0173917788247799
409182,Poseidon,2006,160.0,220.8,181.67,250.7,99,5.5,594,6.581669,45442,503.0,Action|Adventure|Thriller,Wolfgang Petersen,21,2,23,0409182,0.0115740038182262,0.0055840582666669
382625,The Da Vinci Code,2006,125.0,172.5,767.82,1059.59,149,6.5,2773,18.566706,45447,591.0,Drama|Thriller,Ron Howard,173,1,174,0808151|3062096|1047805|0382625,-0.0007951310939116,-0.0167339266837835
376994,X-Men: The Last Stand,2006,210.0,289.8,459.36,633.92,104,6.3,3581,0.867943,45499,36668.0,Action|Sci-Fi|Thriller,Brett Ratner,225,8,233,0458525|1270798|1430132|1877832|3385516|3315342|6565702|4682266|0120903|0290334|0376994,0.0146816821489627,0.0035563913012495
452594,The Break-Up,2006,52.0,71.76,205.0,282.9,106,5.6,851,6.327193,45501,9767.0,Comedy|Drama,Peyton Reed,31,15,46,0452594,-0.0169935020377854,0.007481681621956
417385,Twelve and Holding,2005,0.4,0.57,0.1,0.14,90,7.0,20,1.829593,45506,18164.0,Drama,Michael Cuesta,1,6,7,0417385,-0.0019245805047202,0.0244151022358385
317219,Cars,2006,120.0,165.6,461.98,637.53,117,6.6,3991,18.907948,45517,920.0,Animation|Comedy,John Lasseter,267,34,301,1216475|3606752|0317219,-0.0188264287818074,0.0141811188929751
343996,The Lost City,2005,9.6,13.73,4.39,6.28,144,5.9,25,2.637004,45525,9700.0,Drama,Andy García,1,1,2,0343996,0.0228816841082455,0.0021611788407636
360016,Standing Still,2005,1.7,2.43,0.01,0.01,90,5.7,12,2.095106,45527,14167.0,Comedy|Drama,Matthew Cole Weiss,1,7,8,0360016,-0.0188068231769958,0.0056384989735625
